year,Base case diesel consumed,"Galena, alaska heat recovery study"
2019,484775.705915,478775.705915
2020,484775.705915,478775.705915
2021,484775.705915,478775.705915
2022,484775.705915,478775.705915
2023,484775.705915,478775.705915
2024,484775.705915,478775.705915
2025,484775.705915,478775.705915
2026,484775.705915,478775.705915
2027,484775.705915,478775.705915
2028,484775.705915,478775.705915
2029,484775.705915,478775.705915
2030,484775.705915,478775.705915
2031,484775.705915,478775.705915
2032,484775.705915,478775.705915
2033,484775.705915,478775.705915
2034,484775.705915,478775.705915
2035,484775.705915,478775.705915
2036,484775.705915,478775.705915
2037,484775.705915,478775.705915
2038,484775.705915,478775.705915
