year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,13384.0,9896.43939476
2018,13384.0,9896.43939476
2019,13384.0,9896.43939476
2020,13384.0,9896.43939476
2021,13384.0,9896.43939476
2022,13384.0,9896.43939476
2023,13384.0,9896.43939476
2024,13384.0,9896.43939476
2025,13384.0,9896.43939476
2026,13384.0,9896.43939476
2027,13384.0,9896.43939476
2028,13384.0,9896.43939476
2029,13384.0,9896.43939476
2030,13384.0,9896.43939476
2031,13384.0,9896.43939476
2032,,
2033,,
2034,,
2035,,
2036,,
