year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12121.6508177,419.334066311
2018,12438.1962128,430.284577069
2019,12749.0748927,441.039054568
2020,13049.740055,451.440207596
2021,13336.4420499,461.358321486
2022,13614.5334971,470.978563738
2023,13883.9624084,480.299135883
2024,14151.9811395,489.570924521
2025,14416.1007546,498.70782789
2026,14678.5220881,507.785981231
2027,14934.2456068,516.632431652
2028,15186.6180521,525.362955677
2029,15474.9836698,535.338620615
2030,15755.3409366,545.037246197
2031,16023.6585999,554.319376039
