year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,137338.536428,101630.516957
2018,137338.536428,101630.516957
2019,137338.536428,101630.516957
2020,137338.536428,101630.516957
2021,137338.536428,101630.516957
2022,137338.536428,101630.516957
2023,137338.536428,101630.516957
2024,137338.536428,101630.516957
2025,137338.536428,101630.516957
2026,137338.536428,101630.516957
2027,137338.536428,101630.516957
2028,137338.536428,101630.516957
2029,137338.536428,101630.516957
2030,137338.536428,101630.516957
2031,137338.536428,101630.516957
