year,Base case cost,Modeled biomass for heat (pellet)
2017,236769.962163,252071.005715
2018,251040.400554,261798.510874
2019,276402.019762,280951.252555
2020,289076.048177,290321.136852
2021,297081.477385,296098.559788
2022,303747.175801,300850.346078
2023,308414.775009,304070.271556
2024,311752.025009,306273.508056
2025,316419.434216,309510.899516
2026,321758.954216,313276.556846
2027,326431.034216,316535.457151
2028,329768.234216,318772.329237
2029,335127.837385,322582.446952
2030,338480.449762,324850.413076
2031,343830.831346,328666.62333
2032,349165.840554,332474.850139
2033,355162.87897,336799.958129
2034,361164.968177,341137.163547
2035,365164.437385,343935.721784
2036,371177.318177,348297.320457
