year,Base case diesel consumed,Modeled solar power
2020,263088.465305,260062.49746
2021,264070.645573,261068.88547
2022,265109.992438,262132.246417
2023,266182.484546,263228.560492
2024,267460.034109,264529.741448
2025,268540.588324,265633.738005
2026,269881.08814,266997.492623
2027,271138.576986,268278.050233
2028,272463.241871,269625.599333
2029,274090.865815,271275.924417
2030,275863.439765,273071.017898
2031,277635.361878,274865.279386
2032,279630.232678,276882.310846
2033,281402.825355,278676.886897
2034,283323.150163,280619.019213
2035,285539.152352,282856.65445
2036,287902.72795,285241.690031
2037,290487.918837,287848.169221
2038,293220.868804,290602.237185
2039,296101.513716,293503.83115
