year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,3.55
2001,,,3.55
2004,,2.22,3.55
2005,,2.43,3.75
2010,,5.28,6.99
2011,,6.09,8.29
2012,,5.5,9.78
2013,,3.82,9.78
2014,,,9.99
2016,start of forecast,3.52,6.25
2017,,4.07,6.8
2018,,4.47,7.2
2019,,5.01,7.74
2020,,5.26,7.99
2021,,5.43,8.16
2022,,5.56,8.29
2023,,5.65,8.38
2024,,5.72,8.45
2025,,5.81,8.54
2026,,5.91,8.64
2027,,6.0,8.73
2028,,6.07,8.8
2029,,6.17,8.9
2030,,6.23,8.96
2031,,6.33,9.06
2032,,6.44,9.17
2033,,6.55,9.28
2034,,6.66,9.39
2035,,6.73,9.46
2036,,6.84,9.57
2037,,6.91,9.64
2038,,7.03,9.76
2039,,7.11,9.84
2040,,7.23,9.96
